simulacao,estrategia,chamadas_entrada,ordem_execucao,quantidade_chamadas,movimentos,andar_inicial,andar_final
1,FIFO,"7 1 3 5 1 5","7 1 3 5 1 5",6,25,0,5
1,SCAN,"7 1 3 5 1 5","1 1 3 5 5 7",6,7,0,7
1,MENOR_DISTANCIA,"7 1 3 5 1 5","1 1 3 5 5 7",6,7,0,7
2,FIFO,"8 6 5 6 7 5 0 8 5 6","8 6 5 6 7 5 0 8 5 6",10,32,0,6
2,SCAN,"8 6 5 6 7 5 0 8 5 6","0 5 5 5 6 6 6 7 8 8",10,8,0,8
2,MENOR_DISTANCIA,"8 6 5 6 7 5 0 8 5 6","0 5 5 5 6 6 6 7 8 8",10,8,0,8
3,FIFO,"6 3 4 7 6","6 3 4 7 6",5,14,0,6
3,SCAN,"6 3 4 7 6","3 4 6 6 7",5,7,0,7
3,MENOR_DISTANCIA,"6 3 4 7 6","3 4 6 6 7",5,7,0,7
4,FIFO,"5 3 0 3 2 0 5 0 6 8 5 2 3 1","5 3 0 3 2 0 5 0 6 8 5 2 3 1",14,43,0,1
4,SCAN,"5 3 0 3 2 0 5 0 6 8 5 2 3 1","0 0 0 1 2 2 3 3 3 5 5 5 6 8",14,8,0,8
4,MENOR_DISTANCIA,"5 3 0 3 2 0 5 0 6 8 5 2 3 1","0 0 0 1 2 2 3 3 3 5 5 5 6 8",14,8,0,8
